Year,Month,Town,Category,Value
2015,10,JURONG WEST,Minimum Price,305000.000000
2015,10,JURONG WEST,Average Price,433087.945701
2015,10,JURONG WEST,Standard Deviation of Price,72996.804912
2015,10,JURONG WEST,Minimum Price per Square Meter,2755.905512
