Year,Month,Town,Category,Value
2015,09,HOUGANG,Minimum Price,315000.000000
2015,09,HOUGANG,Average Price,463993.263158
2015,09,HOUGANG,Standard Deviation of Price,105943.895469
2015,09,HOUGANG,Minimum Price per Square Meter,3429.752066
