Year,Month,Town,Category,Value
2014,01,WOODLANDS,Minimum Price,315000.000000
2014,01,WOODLANDS,Average Price,450670.281481
2014,01,WOODLANDS,Standard Deviation of Price,89724.214444
2014,01,WOODLANDS,Minimum Price per Square Meter,3171.641791
